HQID,MLBAMID,Player,Age,Throws,Tm,LG,LIMA,"MM Code",MM,ADP,"Min ADP","Max ADP",DL,W,L,G,QS,SV,BS,HD,12$,15$,IP,H,ER,HR,BB,K,ERA,WHIP,BF/G,K9,K%,BB/9,BB%,Cmd,K-BB%,HR9,OOB,xERA,G%,L%,F%,H%,S%,RAR,BPX
7912,694361,"Klein, Will",25,R,SEA,AL,F,"1200 AFF",0,,,,,2,2,45,,,7,4,-7,-7,51.0,34,17,5,31,44,3.00,1.27,4.6,7.8,21%,5.5,14%,1.4,6.2%,0.9,.311,4.61,44%,20%,36%,22%,80%,-3.2,15.9516
7327,680572,"Kloffenstein, Adam",24,R,TOR,AL,F,"1000 AFF",0,,,,,1,1,3,1,,,,-14,-14,15.0,14,9,2,6,10,5.40,1.33,20.8,6.0,16%,3.6,9%,1.7,6.4%,1.2,.321,4.69,44%,20%,36%,27%,61%,-1.1,37.3991
7895,689017,"Knack, Landon",27,R,LA,NL,A+,"1200 ADA",0,492.02,354,730,,2,2,9,3,,,,-10,-10,44.0,42,19,7,15,42,3.89,1.30,20.1,8.6,23%,3.1,8%,2.8,14.9%,1.4,.315,4.48,31%,19%,50%,29%,76%,-2.1,92.0496
8040,686799,"Kochanowicz, Jack",24,R,LAA,AL,C+,"1001 ADD",3,477.22,359,750,,3,4,13,4,,,,-15,-15,73.0,83,37,11,18,38,4.56,1.38,23.6,4.7,12%,2.2,5%,2.1,6.5%,1.4,.329,4.35,55%,20%,26%,30%,71%,-2.3,65.3343
7030,657649,"Koenig, Jared",31,L,MIL,NL,A,"2210 BDF",7,460.47,267,750,23,5,2,39,,2,2,10,-4,-4,58.0,53,22,6,22,52,3.41,1.29,6.1,8.1,21%,3.4,9%,2.4,12.6%,0.9,.314,4.09,46%,19%,36%,29%,76%,0.1,88.0132
5614,656629,"Kopech, Michael",28,R,LA,NL,B+,"2410 DAC",9,327.24,115,730,61,4,4,37,,5,2,14,-3,-3,58.0,43,23,8,28,68,3.57,1.22,6.3,10.6,28%,4.3,11%,2.4,17.0%,1.2,.303,3.95,37%,16%,47%,26%,76%,1.1,100.0197
6733,668820,"Kranick, Max",27,R,NYM,NL,F,"1000 AFF",0,451.33,745,745,,1,,18,,,1,3,-13,-13,29.0,30,13,6,11,21,4.03,1.41,6.8,6.5,17%,3.4,8%,1.9,8.1%,1.9,.334,4.62,44%,20%,36%,28%,80%,-1.9,53.9208
8076,667478,"Kravetz, Evan",28,L,CIN,NL,F,"0100 AFF",0,,,,,2,1,14,,,1,4,-15,-15,15.0,19,7,3,9,12,4.20,1.87,5.0,7.2,17%,5.4,12%,1.3,4.3%,1.8,.398,5.38,44%,20%,36%,34%,84%,-2.4,6.6132
5934,665152,"Kremer, Dean",29,R,BAL,AL,A+,"1203 DAA",21,422.35,270,535,101,9,7,28,9,,,,-4,-4,145.0,136,71,23,52,127,4.41,1.30,21.3,7.9,21%,3.2,8%,2.4,12.6%,1.4,.315,4.36,40%,19%,42%,28%,70%,-4.7,82.8138
5298,641771,"Kuhl, Chad",32,R,ATL,NL,F,"0000 AFF",0,,,,,,1,3,0,,,,-16,-16,15.0,16,8,2,9,8,4.80,1.67,22.4,4.8,11%,5.4,13%,0.9,-1.5%,1.2,.371,5.93,44%,20%,36%,28%,73%,-3.4,-42.6441
6238,669270,"Kuhnel, Joel",30,R,PHI,NL,F,"0000 AFF",0,,,,,1,1,12,,,,1,-14,-14,15.0,19,6,,4,8,3.60,1.53,5.4,4.8,12%,2.4,6%,2.0,6.1%,,.352,5.04,44%,20%,36%,35%,73%,-1.7,49.7134
7328,686747,"La Sorsa, Joe",26,L,CIN,NL,F,"1000 AFF",0,,,,,1,1,11,,,,,-12,-12,15.0,15,6,2,3,8,3.60,1.20,5.5,4.8,13%,1.8,4%,2.7,8.3%,1.2,.298,4.46,44%,20%,36%,27%,75%,-0.7,68.1849
4589,571882,"Law, Derek",34,R,WSH,NL,A,"3100 DCC",0,494.01,350,749,62,4,4,55,,,4,20,-6,-6,65.0,61,26,5,20,53,3.60,1.25,4.8,7.3,20%,2.8,7%,2.6,12.5%,0.7,.306,3.90,47%,24%,30%,30%,72%,1.6,93.8739
6677,664875,"Lawrence, Justin",30,R,PIT,NL,C,"1100 BBB",0,451.20,446,633,22,3,3,34,,,3,4,-17,-17,36.0,39,22,4,20,30,5.50,1.64,4.7,7.5,18%,5.0,12%,1.5,6.2%,1.0,.368,4.67,50%,21%,29%,32%,67%,-2.5,31.926
8065,676661,"Lazar, Max",25,R,PHI,NL,F,"5300 AFF",0,451.25,676,676,,1,1,12,,,1,1,-9,-9,15.0,10,4,1,3,16,2.40,0.87,4.6,9.6,28%,1.8,5%,5.3,23.5%,0.6,.235,3.00,44%,20%,36%,25%,75%,2.0,166.6995
7372,681517,"Leahy, Kyle",27,R,STL,NL,F,"2100 AFF",0,,,,,3,2,24,,,1,9,-10,-10,44.0,41,22,4,11,35,4.50,1.18,7.3,7.2,19%,2.2,6%,3.2,13.6%,0.8,.295,3.98,44%,20%,36%,29%,62%,0.7,102.7676
5314,600917,"Leclerc, Jose",31,R,ATH,AL,B,"2510 FBB",10,504.95,229,745,87,4,3,62,,7,4,26,-5,-5,65.0,56,28,5,30,80,3.88,1.32,4.3,11.1,29%,4.2,11%,2.7,18.6%,0.7,.319,3.96,33%,19%,48%,33%,71%,1.1,112.1858
6868,669276,"Lee, Dylan",30,L,ATL,NL,A,"4500 FDB",0,462.88,517,750,127,5,4,50,,,2,15,1,1,58.0,49,19,7,14,70,2.95,1.09,4.5,10.9,30%,2.2,6%,5.0,24.7%,1.1,.278,3.40,34%,19%,47%,31%,78%,5.0,169.7667
7287,668984,"Legumina, Casey",27,R,SEA,AL,F,"1000 AFF",0,,,,,2,1,10,,,,,-12,-12,15.0,14,7,3,5,11,4.20,1.27,6.1,6.6,17%,3.0,8%,2.2,9.8%,1.8,.310,4.36,44%,20%,36%,26%,75%,-0.5,68.1849
6519,605335,"Leibrandt, Brandon",32,L,NYY,AL,F,"1000 AFF",0,,,,,1,1,3,1,,,,-15,-15,15.0,18,9,3,4,10,5.40,1.47,21.4,6.0,15%,2.4,6%,2.5,9.3%,1.8,.342,4.64,44%,20%,36%,31%,68%,-1.0,74.342
5538,643410,"Leiter Jr., Mark",33,R,NYY,AL,B,"5500 BCA",0,453.39,688,740,17,3,3,47,,,2,10,-5,-5,58.0,48,23,6,22,73,3.57,1.21,5.0,11.3,31%,3.4,9%,3.3,21.8%,0.9,.300,3.15,46%,20%,34%,31%,73%,6.8,154.9211
7051,683004,"Leiter, Jack",24,R,TEX,AL,C+,"1301 ADB",6,487.13,294,647,,3,3,16,5,,,,-16,-16,73.0,70,39,10,38,72,4.81,1.48,19.6,8.9,22%,4.7,12%,1.9,10.8%,1.2,.344,4.57,41%,17%,42%,31%,70%,-4.3,59.8385
6712,669461,"Liberatore, Matthew",25,L,STL,NL,B,"1110 ACA",4,491.86,452,748,14,2,2,27,,4,1,17,-11,-11,58.0,58,27,7,21,49,4.19,1.36,9.0,7.6,20%,3.3,8%,2.3,11.5%,1.1,.326,4.41,41%,20%,39%,30%,72%,-2.2,77.2838
5898,641793,"Littell, Zack",29,R,TB,AL,A,"2203 DCA",27,402.75,266,500,90,9,8,29,11,,2,,2,2,160.0,162,71,26,38,137,3.99,1.25,22.5,7.7,21%,2.1,5%,3.6,15.2%,1.5,.307,4.13,39%,20%,41%,30%,74%,-0.7,111.7411
7120,663893,"Little, Brendon",28,L,TOR,AL,D,"4100 AFF",0,,,,,1,1,62,,,,9,-13,-13,58.0,55,26,6,25,48,4.03,1.38,3.9,7.5,19%,3.9,10%,1.9,9.4%,0.9,.329,3.50,64%,20%,16%,29%,73%,4.3,81.343
4855,594902,"Lively, Ben",33,R,CLE,AL,B+,"1101 DBB",4,484.64,312,675,76,8,9,25,8,,,,-10,-10,123.0,128,62,19,43,95,4.54,1.39,20.7,7.0,18%,3.1,8%,2.2,10.0%,1.4,.330,4.65,42%,18%,41%,30%,71%,-8.4,68.4699
5906,642528,"Loaisiga, Jonathan",30,R,NYY,AL,F,"3200 FFF",0,452.31,605,740,360,2,2,38,,,,,-10,-10,51.0,47,22,6,18,45,3.88,1.27,5.5,7.9,21%,3.2,8%,2.5,12.9%,1.1,.311,3.61,54%,20%,26%,29%,72%,3.1,101.5476
6394,666157,"Lodolo, Nick",27,L,CIN,NL,A+,"4403 FCA",45,250.05,156,341,282,9,6,26,11,,,,5,5,131.0,117,56,18,43,155,3.85,1.22,20.4,10.7,29%,3.0,8%,3.6,21.2%,1.2,.302,3.28,45%,20%,35%,31%,73%,13.3,153.9861
6711,669674,"Long, Sam",29,L,KC,AL,F,"1100 AFF",0,,,,44,2,2,42,,,,5,-13,-13,58.0,55,28,7,24,49,4.34,1.36,5.8,7.6,20%,3.7,9%,2.0,10.3%,1.1,.326,4.59,41%,17%,42%,29%,70%,-3.5,63.1223
7374,682052,"Lopez, Jacob",27,L,ATH,AL,F,"2200 AFF",0,,,,,1,3,7,,,,,-13,-13,29.0,25,14,3,14,28,4.34,1.34,17.2,8.7,23%,4.3,11%,2.0,11.6%,0.9,.323,4.17,44%,20%,36%,28%,69%,-0.2,69.8268
5072,605347,"Lopez, Jorge",32,R,WSH,NL,F,"3210 AFF",9,437.32,218,731,29,2,2,64,,9,,18,-7,-7,65.0,62,28,7,25,60,3.88,1.34,4.2,8.3,22%,3.5,9%,2.4,13.0%,1.0,.322,3.84,49%,19%,30%,30%,73%,2.1,94.8203
5918,641154,"Lopez, Pablo",29,R,MIN,AL,B+,"4303 BAA",42,71.48,40,111,,12,8,30,13,,,,15,15,174.0,161,69,21,43,184,3.57,1.17,23.2,9.5,26%,2.2,6%,4.3,20.3%,1.1,.294,3.35,45%,21%,34%,31%,73%,16.1,153.2678
5326,625643,"Lopez, Reynaldo",31,R,ATL,NL,C+,"4303 CBB",42,164.79,102,261,35,8,6,25,8,,4,,8,8,131.0,109,52,11,40,141,3.57,1.14,20.7,9.7,27%,2.8,7%,3.5,19.5%,0.8,.287,3.55,40%,21%,39%,30%,70%,8.9,134.7393
4861,547179,"Lorenzen, Michael",33,R,KC,AL,C,"0103 FAA",12,498.58,293,714,122,9,9,31,11,,,,-13,-13,131.0,129,67,17,66,100,4.60,1.49,18.2,6.9,17%,4.5,11%,1.5,6.0%,1.2,.345,4.96,44%,18%,38%,29%,71%,-14.0,26.624
8014,702795,"Loutos, Ryan",26,R,STL,NL,F,"1200 AFF",0,,,,,1,,19,,,1,,-14,-14,22.0,25,9,1,9,19,3.68,1.55,5.0,7.8,19%,3.7,9%,2.1,10.4%,0.4,.354,4.51,44%,20%,36%,35%,75%,-1.1,71.2635
8084,695076,"Lowder, Rhett",23,R,CIN,NL,C+,"1100 AFF",0,445.96,249,645,,3,2,12,4,,,,-12,-12,58.0,59,29,7,18,43,4.50,1.33,20.1,6.7,17%,2.8,7%,2.4,10.4%,1.1,.320,4.44,38%,25%,36%,30%,68%,-2.5,69.2453
5098,607625,"Lugo, Seth",35,R,KC,AL,C+,"3303 DAA",36,181.97,70,250,34,11,9,31,11,,3,,10,10,174.0,162,73,19,46,169,3.78,1.20,22.5,8.7,24%,2.4,6%,3.7,17.6%,1.0,.298,3.64,45%,20%,36%,30%,71%,9.8,132.3334
5949,666200,"Luzardo, Jesus",27,L,PHI,NL,B,"3303 FAB",36,277.48,185,404,183,11,2,29,12,,,,5,5,138.0,125,59,21,50,143,3.85,1.27,19.4,9.3,25%,3.3,8%,2.9,16.5%,1.4,.310,3.88,39%,22%,39%,29%,75%,3.7,110.5097
6363,663738,"Lynch, Daniel",28,L,KC,AL,A+,"2101 FCB",6,500.56,436,749,169,4,4,26,,,,8,-6,-6,73.0,70,31,10,19,60,3.82,1.22,11.3,7.4,20%,2.3,6%,3.2,13.9%,1.2,.302,4.09,44%,17%,39%,29%,73%,0.1,104.9226
3760,458681,"Lynn, Lance",37,R,STL,NL,A+,"2203 FAA",27,503.03,320,732,114,10,12,24,9,,,,-3,-3,131.0,127,64,22,46,126,4.40,1.32,22.6,8.7,23%,3.2,8%,2.7,14.8%,1.5,.319,4.26,35%,22%,43%,30%,72%,-2.6,95.2764
8082,680744,"Madden, Ty",25,R,DET,AL,B,"1200 ADD",0,456.99,395,746,,2,2,9,3,,,4,-17,-17,44.0,45,26,6,19,42,5.32,1.45,20.9,8.6,22%,3.9,10%,2.2,12.2%,1.2,.340,4.40,45%,15%,41%,32%,65%,-1.6,82.7682
5155,628317,"Maeda, Kenta",36,R,DET,AL,B,"3300 FCB",0,484.53,335,750,262,2,2,13,5,,,,-11,-11,58.0,57,29,9,15,57,4.50,1.24,18.1,8.8,24%,2.3,6%,3.8,17.8%,1.4,.306,3.88,38%,21%,41%,31%,68%,1.6,127.9436
5433,641816,"Mahle, Tyler",30,R,TEX,AL,A+,"2301 FCB",8,440.07,262,549,382,4,4,23,8,,,,-3,-3,123.0,106,56,12,42,122,4.10,1.20,21.5,8.9,24%,3.1,8%,2.9,16.2%,0.9,.299,4.04,36%,19%,44%,29%,67%,0.9,104.7288
7905,687424,"Maldonado, Anthony",27,R,ATH,AL,F,"1200 AFF",0,,,,,4,4,31,,,,,-17,-17,44.0,49,26,9,22,41,5.32,1.61,6.3,8.4,21%,4.5,11%,1.9,9.7%,1.8,.364,4.60,44%,20%,36%,32%,72%,-2.7,58.7439
5061,640455,"Manaea, Sean",33,L,NYM,NL,B,"3303 AAA",36,202.45,111,364,,9,7,30,11,,,,6,6,152.0,133,65,20,48,155,3.85,1.19,20.3,9.2,25%,2.8,7%,3.2,17.5%,1.2,.297,3.81,39%,20%,41%,29%,72%,5.3,120.3611
6041,666159,"Manning, Matt",27,R,DET,AL,C+,"0101 FCA",2,474.28,501,750,221,2,2,16,4,,,,-18,-18,73.0,79,40,10,26,54,4.93,1.44,19.4,6.7,17%,3.2,8%,2.1,9.0%,1.2,.338,4.94,38%,19%,44%,31%,68%,-7.6,56.11
6402,666201,"Manoah, Alek",27,R,TOR,AL,B,"2300 FAF",0,454.97,642,745,147,2,2,6,2,,,,-12,-12,29.0,26,14,5,12,30,4.34,1.31,20.0,9.3,25%,3.7,10%,2.5,15.0%,1.6,.317,4.05,37%,22%,41%,28%,72%,0.1,93.6573
5376,573009,"Mantiply, Joe",34,L,ARI,NL,D,"2110 CFF",6,,,,52,3,2,73,,4,,9,-7,-7,58.0,53,25,4,19,49,3.88,1.24,3.2,7.6,20%,3.0,8%,2.6,12.7%,0.6,.306,3.96,50%,15%,35%,30%,69%,1.0,97.0893
6954,676760,"Marinaccio, Ron",29,R,SD,NL,F,"1100 AFF",0,,,,,1,2,26,,,,5,-12,-12,29.0,25,13,4,11,22,4.03,1.24,4.5,6.8,18%,3.4,9%,2.0,9.3%,1.2,.306,4.34,44%,20%,36%,26%,71%,-0.8,60.2832
5382,608566,"Marquez, German",30,R,COL,NL,B,"2103 FCF",24,499.75,330,750,340,8,11,28,9,,,,-7,-7,160.0,156,80,20,55,131,4.50,1.32,23.6,7.4,19%,3.1,8%,2.4,11.5%,1.1,.319,4.14,46%,21%,33%,29%,68%,-0.9,83.498
7215,679525,"Marsh, Alec",26,R,KC,AL,A+,"2201 BCC",7,489.26,371,744,16,5,5,18,6,,,,-8,-8,87.0,82,42,13,32,84,4.34,1.31,20.0,8.7,23%,3.3,8%,2.6,14.5%,1.3,.317,4.14,38%,21%,40%,30%,71%,-0.4,94.6949
4612,455119,"Martin, Chris",38,R,TEX,AL,A+,"5420 FCA",32,386.81,186,746,68,3,2,53,,14,3,8,-0,-0,51.0,54,19,5,5,59,3.35,1.16,3.8,10.4,29%,0.9,2%,11.8,26.6%,0.9,.291,2.74,48%,22%,29%,36%,74%,8.6,216.2076
7000,663436,"Martin, Davis",28,R,CWS,AL,B,"2203 ADD",27,501.48,320,749,,4,4,35,12,,,,-11,-11,167.0,162,81,22,66,155,4.37,1.37,20.0,8.3,22%,3.6,9%,2.4,12.7%,1.2,.326,4.23,42%,20%,38%,30%,71%,-2.8,84.5812
7300,679885,"Martinez, Justin",23,R,ARI,NL,A,"5421 ADA",51,235.42,111,522,,4,4,62,,16,2,18,4,4,73.0,55,24,4,36,87,2.96,1.25,4.8,10.7,29%,4.4,12%,2.4,17.2%,0.5,.306,2.98,57%,24%,20%,30%,77%,10.1,123.4397
4590,607259,"Martinez, Nick",34,R,CIN,NL,B,"2103 AAA",24,337.68,222,537,,8,7,25,8,,1,,3,3,131.0,122,55,14,34,110,3.78,1.19,21.0,7.6,20%,2.3,6%,3.2,14.5%,1.0,.297,4.09,40%,20%,40%,29%,71%,0.1,103.6456
8184,687273,"Mathews, Quinn",,R,STL,NL,F,"3400 AFF",0,418.78,283,572,,2,2,7,2,,,,-10,-10,36.0,30,16,4,16,41,4.00,1.28,21.1,10.2,27%,4.0,10%,2.6,16.9%,1.0,.312,3.64,44%,20%,36%,30%,71%,2.0,112.3112
7903,673513,"Matsui, Yuki",29,L,SD,NL,A+,"4510 AAC",14,486.37,481,750,,2,2,57,,2,2,9,-1,-1,58.0,39,19,8,23,74,2.95,1.07,4.0,11.5,32%,3.6,10%,3.2,22.6%,1.2,.275,3.40,37%,16%,47%,25%,79%,5.0,142.812
8055,805673,"Matthews, Zebby",24,R,MIN,AL,A+,"3201 AFF",9,429.35,251,569,,3,2,14,4,,,,-6,-6,73.0,74,33,12,12,69,4.07,1.18,20.9,8.5,23%,1.5,4%,5.8,19.5%,1.5,.295,3.82,38%,18%,44%,31%,71%,2.5,147.3386
6324,676755,"Mattson, Isaac",29,R,PIT,NL,F,"0200 AFF",0,,,,,2,1,11,,,,,-13,-13,22.0,21,10,2,13,19,4.09,1.55,8.7,7.8,19%,5.3,13%,1.5,6.2%,0.8,.354,4.89,44%,20%,36%,30%,75%,-2.1,20.7747
4768,571927,"Matz, Steven",33,L,STL,NL,B,"2101 FBB",6,504.42,456,750,286,5,4,28,,,,,-10,-10,102.0,109,48,15,31,82,4.24,1.37,15.3,7.2,19%,2.7,7%,2.6,11.9%,1.3,.327,4.25,44%,21%,35%,31%,73%,-1.9,89.3245
6217,669160,"May, Dustin",27,R,LA,NL,B,"2201 FDC",7,413.32,238,588,462,8,6,22,8,,,,-4,-4,116.0,106,54,10,44,102,4.19,1.29,21.7,7.9,21%,3.4,9%,2.3,12.2%,0.8,.314,3.93,49%,20%,31%,29%,68%,2.4,88.1501
8009,800049,"Mazur, Adam",23,R,MIA,NL,F,"2100 AFF",0,466.20,498,748,,3,4,10,3,,,,-18,-18,51.0,60,34,8,10,43,6.00,1.37,21.4,7.6,20%,1.8,4%,4.3,15.4%,1.4,.327,3.99,44%,20%,36%,34%,58%,0.7,126.6779
6904,663704,"McArthur, James",28,R,KC,AL,A+,"3200 DCC",0,459.45,407,750,115,2,2,20,,,2,5,-12,-12,29.0,29,13,5,10,25,4.03,1.34,6.0,7.8,20%,3.1,8%,2.5,12.4%,1.6,.323,3.82,51%,20%,29%,29%,76%,1.0,96.8955
6780,670766,"McCaughan, Darren",28,R,MIN,AL,F,"1100 AFF",0,,,,,2,1,9,3,,,,-19,-19,44.0,49,28,9,17,37,5.73,1.50,21.1,7.6,19%,3.5,8%,2.2,10.5%,1.8,.347,4.47,44%,20%,36%,31%,66%,-2.0,73.3159
6631,663556,"McClanahan, Shane",27,L,TB,AL,A,"3303 FAC",36,124.93,58,235,265,11,8,25,10,,,,7,7,145.0,126,61,19,51,149,3.79,1.22,23.4,9.2,25%,3.2,8%,2.9,16.7%,1.2,.302,3.58,46%,21%,33%,29%,73%,9.3,119.62
4924,621121,"McCullers Jr., Lance",31,R,HOU,AL,A+,"3301 FFF",10,510.74,308,750,490,7,4,19,7,,,,-1,-1,102.0,86,42,8,47,103,3.71,1.30,22.1,9.1,24%,4.2,11%,2.2,13.3%,0.7,.316,3.63,54%,18%,28%,29%,72%,6.0,95.2878
7952,694646,"McDermott, Chayce",26,R,BAL,AL,F,"2300 AFF",0,487.74,478,748,,1,1,3,1,,,,-13,-13,15.0,13,6,2,8,16,3.60,1.40,21.1,9.6,25%,4.8,12%,2.0,12.6%,1.2,.332,4.08,44%,20%,36%,29%,78%,0.0,74.342
8050,686790,"McDonald, Trevor",24,R,SF,NL,F,"1000 AFF",0,,,,,1,3,8,2,,,,-14,-14,36.0,37,19,2,10,22,4.75,1.31,18.6,5.5,14%,2.5,6%,2.2,8.1%,0.5,.317,4.58,44%,20%,36%,30%,62%,-2.1,61.0015
4300,519008,"McFarland, T.J.",35,L,ATH,AL,F,"3000 AFF",0,,,,20,2,3,73,,,,11,-11,-11,58.0,53,27,5,19,41,4.19,1.24,3.2,6.4,17%,3.0,8%,2.2,9.3%,0.8,.306,3.84,56%,20%,24%,28%,67%,1.8,78.481
7876,676046,"McGarry, Griff",25,R,PHI,NL,F,"0400 AFF",0,451.14,577,577,,1,1,21,,,,,-18,-18,22.0,19,12,2,25,24,4.91,2.00,5.0,9.8,22%,10.2,23%,1.0,-1.0%,0.8,.415,6.20,44%,20%,36%,30%,76%,-5.7,-88.3097
7395,700241,"McGreevy, Michael",24,R,STL,NL,B,"2000 ACB",0,456.99,299,637,,4,4,9,3,,,,-10,-10,51.0,58,23,5,12,33,4.06,1.37,23.8,5.8,15%,2.1,5%,2.8,9.8%,0.9,.327,4.22,50%,20%,30%,32%,72%,-0.8,86.1091
5601,663474,"McKenzie, Triston",27,R,CLE,AL,C,"0201 FCB",3,492.67,225,687,167,4,4,19,8,,,,-15,-15,87.0,77,46,16,50,82,4.76,1.46,19.6,8.5,22%,5.2,13%,1.6,8.6%,1.7,.341,5.05,35%,16%,49%,27%,73%,-10.2,29.7026
7810,669111,"McMillon, John",27,R,PHI,NL,F,"0200 AFF",0,451.33,748,748,,4,2,27,,,1,10,-23,-23,29.0,35,24,8,26,28,7.45,2.10,5.3,8.7,19%,8.1,18%,1.1,1.4%,2.5,.427,5.95,44%,20%,36%,33%,69%,-6.6,-45.0043
6022,607644,"Means, John",31,L,CLE,AL,B,"2100 FDB",0,451.45,540,639,493,2,2,10,,,,,-12,-12,44.0,40,24,10,10,36,4.91,1.14,17.4,7.4,20%,2.0,5%,3.6,14.9%,2.0,.287,4.31,33%,20%,47%,25%,65%,-1.1,100.4872
6521,683232,"Mears, Nick",28,R,MIL,NL,B,"3510 FDB",12,475.95,548,750,231,2,2,58,,4,4,10,-9,-9,58.0,49,27,7,28,71,4.19,1.33,4.2,11.0,29%,4.3,11%,2.5,17.9%,1.1,.320,3.86,37%,19%,44%,31%,71%,1.7,109.6659
7363,682989,"Mederos, Victor",23,R,LAA,AL,F,"0000 AFF",0,,,,,2,4,10,3,,,9,-24,-24,44.0,55,32,6,21,29,6.55,1.73,20.0,5.9,14%,4.3,10%,1.4,4.0%,1.2,.380,5.40,44%,20%,36%,34%,62%,-7.1,14.4123
6376,656730,"Megill, Trevor",31,R,MIL,NL,B+,"3420 DDB",24,179.14,64,552,72,2,2,56,,22,4,19,-1,-1,58.0,50,24,7,22,67,3.72,1.24,4.2,10.4,28%,3.4,9%,3.0,19.1%,1.1,.306,3.78,37%,19%,45%,30%,73%,2.3,125.5719
6624,656731,"Megill, Tylor",29,R,NYM,NL,A+,"2301 FCC",8,440.60,177,708,177,6,5,20,6,,,,-6,-6,94.0,88,42,11,38,98,4.02,1.34,19.6,9.4,25%,3.6,9%,2.6,15.3%,1.1,.322,4.04,40%,20%,40%,31%,73%,0.7,100.9775
7949,691441,"Mena, Cristian",22,R,ARI,NL,F,"2200 AFF",0,,,,,1,1,6,2,,,,-14,-14,29.0,31,13,3,12,27,4.03,1.48,20.8,8.4,21%,3.7,9%,2.2,12.0%,0.9,.345,4.26,44%,20%,36%,33%,75%,-0.6,82.5516
7904,675650,"Mercado, Michael",25,R,PHI,NL,F,"1100 AFF",0,,,,,2,1,17,,,,,-14,-14,36.0,35,17,4,18,28,4.25,1.47,9.1,7.0,18%,4.5,11%,1.6,6.5%,1.0,.343,4.83,44%,20%,36%,29%,73%,-3.2,30.2157
6029,657240,"Merryweather, Julian",33,R,CHI,NL,F,"3400 FFF",0,,,,212,2,2,34,,,,5,-13,-13,36.0,34,18,4,16,42,4.50,1.39,4.5,10.5,27%,4.0,10%,2.6,17.2%,1.0,.330,3.73,40%,24%,36%,33%,69%,1.6,112.8813
6464,676974,"Meyer, Max",26,R,MIA,NL,C+,"1203 FDF",21,434.27,256,639,275,5,5,27,9,,,,-13,-13,131.0,137,64,22,53,113,4.40,1.45,20.7,7.8,20%,3.6,9%,2.1,10.7%,1.5,.340,4.50,45%,16%,39%,31%,75%,-6.4,73.4299
4092,571945,"Mikolas, Miles",36,R,STL,NL,B,"2003 DAB",21,501.05,371,747,,9,10,29,10,,,,-4,-4,160.0,169,82,23,26,113,4.61,1.22,22.3,6.4,17%,1.5,4%,4.3,13.5%,1.3,.302,4.10,43%,21%,36%,30%,65%,-0.1,109.5291
7153,676272,"Miller, Bobby",25,R,LA,NL,C+,"1200 DCB",0,386.69,177,577,71,2,2,9,3,,,,-13,-13,44.0,44,20,8,21,40,4.09,1.48,21.0,8.2,21%,4.3,11%,1.9,10.1%,1.6,.344,4.41,45%,20%,35%,30%,78%,-1.7,61.7313
7312,682243,"Miller, Bryce",26,R,SEA,AL,C+,"3203 ABD",33,86.89,58,153,16,11,8,28,9,,,,14,14,160.0,141,62,22,41,154,3.49,1.14,22.6,8.7,24%,2.3,6%,3.8,17.8%,1.2,.287,3.89,37%,18%,44%,28%,75%,4.1,123.7248
7247,669062,"Miller, Erik",27,L,SF,NL,B,"3500 ADD",0,453.62,596,747,,3,3,63,,,2,17,-9,-9,65.0,49,27,5,42,82,3.74,1.40,4.3,11.3,29%,5.8,15%,1.9,14.6%,0.7,.332,3.76,49%,16%,35%,30%,74%,2.7,84.5584
7306,695243,"Miller, Mason",26,R,ATH,AL,C+,"5530 FCB",54,58.12,25,178,135,2,2,46,,25,2,11,12,12,65.0,42,19,6,20,92,2.63,0.95,5.3,12.7,37%,2.8,8%,4.6,29.4%,0.8,.253,2.81,37%,18%,45%,28%,76%,10.3,193.3007
8075,668943,"Miller, Ryan",28,R,DET,AL,F,"2000 AFF",0,,,,,1,1,16,,,,,-11,-11,29.0,28,12,3,7,21,3.72,1.21,7.3,6.5,17%,2.2,5%,3.0,12.0%,0.9,.300,4.11,44%,20%,36%,29%,71%,-0.1,92.0952
6375,668338,"Miller, Tyson",29,R,CHI,NL,A,"1210 ADB",5,460.04,355,747,,5,4,45,,4,1,18,-1,-1,65.0,56,25,7,20,57,3.46,1.17,5.8,7.9,21%,2.8,7%,2.9,14.3%,1.0,.293,4.45,31%,20%,50%,28%,73%,-2.8,86.9186
5627,571948,"Milner, Hoby",34,L,TEX,AL,B,"4200 CBA",0,451.23,657,657,26,3,3,57,,,1,16,-3,-3,58.0,54,21,5,11,52,3.26,1.12,4.0,8.1,22%,1.7,4%,4.7,17.9%,0.8,.284,3.38,50%,19%,31%,30%,73%,5.1,144.91
5690,621345,"Minter, A.J.",31,L,NYM,NL,A+,"4410 DBA",13,498.84,329,749,84,4,3,66,,2,6,21,-0,-0,58.0,46,20,8,19,68,3.10,1.12,3.5,10.6,29%,3.0,8%,3.6,21.4%,1.2,.284,3.45,40%,17%,43%,28%,78%,4.7,146.2326
6014,664948,"Misiewicz, Anthony",30,L,NYY,AL,F,"2200 AFF",0,,,,,1,1,12,,,1,,-14,-14,15.0,17,7,2,5,14,4.20,1.47,5.4,8.4,21%,3.0,7%,2.8,14.0%,1.2,.342,4.12,44%,20%,36%,34%,75%,-0.0,105.1279
