HQID,MLBAMID,Player,Age,Throws,Tm,LG,LIMA,"MM Code",MM,ADP,"Min ADP","Max ADP",DL,W,L,G,QS,SV,BS,HD,12$,15$,IP,H,ER,HR,BB,K,ERA,WHIP,BF/G,K9,K%,BB/9,BB%,Cmd,K-BB%,HR9,OOB,xERA,G%,L%,F%,H%,S%,RAR,BPX
7384,678226,"Hernandez, Daysbel",28,R,ATL,NL,F,"0300 AFF",0,456.87,582,749,,4,2,35,,,2,13,-12,-12,44.0,47,17,2,29,44,3.48,1.73,5.7,9.0,21%,5.9,14%,1.5,7.5%,0.4,.380,4.88,44%,20%,36%,36%,79%,-4.2,27.2397
7292,669796,"Hernandez, Jose",27,L,LA,NL,F,"0100 AFF",0,451.33,747,747,,,,13,,,,,-18,-18,15.0,18,10,1,8,12,6.00,1.73,5.2,7.2,17%,4.8,11%,1.5,5.9%,0.6,.381,5.11,44%,20%,36%,35%,64%,-1.9,25.0847
7841,663321,"Hernandez, Nick",30,R,HOU,AL,F,"2300 AFF",0,,,,,4,3,36,,,2,5,-8,-8,44.0,37,18,3,20,44,3.68,1.30,5.0,9.0,24%,4.1,11%,2.2,13.3%,0.6,.315,4.01,44%,20%,36%,29%,72%,0.5,83.8856
7263,682120,"Herrin, Tim",28,L,CLE,AL,A,"4300 ADA",0,452.70,599,743,,4,4,57,,,1,13,-0,-0,58.0,42,19,3,22,62,2.95,1.10,4.0,9.6,27%,3.4,9%,2.8,17.6%,0.5,.281,3.36,50%,17%,33%,27%,73%,5.3,124.3861
7184,687792,"Herz, DJ",24,L,WSH,NL,B+,"1403 ADA",27,329.23,212,415,,6,6,28,9,,,,-7,-7,138.0,111,61,15,86,151,3.98,1.43,20.9,9.8,25%,5.6,14%,1.8,11.1%,1.0,.336,4.60,36%,19%,45%,28%,74%,-8.5,45.4148
5817,663855,"Hicks, Jordan",28,R,SF,NL,C+,"2203 DAB",27,459.48,316,596,78,8,7,30,10,,1,,-8,-8,138.0,131,63,14,71,132,4.11,1.46,19.7,8.6,22%,4.6,12%,1.9,10.3%,0.9,.342,4.03,53%,19%,28%,31%,73%,1.2,69.5189
7062,682051,"Hill, Garrett",29,R,SEA,AL,F,"0200 AFF",0,,,,,1,1,9,,,,,-17,-17,15.0,16,9,2,13,13,5.40,1.93,7.9,7.8,18%,7.8,18%,1.0,,1.2,.407,6.00,44%,20%,36%,32%,74%,-3.5,-54.9584
8091,677955,"Hill, Jaden",25,R,COL,NL,F,"3400 AFF",0,455.81,456,749,,6,2,40,,,2,4,-15,-15,44.0,55,27,5,16,50,5.52,1.61,4.9,10.2,25%,3.3,8%,3.1,17.4%,1.0,.364,3.88,44%,20%,36%,40%,66%,1.2,134.3744
5765,657612,"Hill, Tim",35,L,NYY,AL,C,"3000 BFF",0,,,,53,3,1,53,,,,,-7,-7,58.0,58,22,5,13,25,3.41,1.22,4.4,3.9,10%,2.0,5%,1.9,5.1%,0.8,.303,3.83,67%,15%,18%,27%,74%,1.9,68.755
6576,663546,"Hjelle, Sean",27,R,SF,NL,A+,"4100 BCC",0,451.93,719,740,24,2,2,29,,,,9,-7,-7,58.0,54,23,5,16,48,3.57,1.21,8.1,7.5,20%,2.5,6%,3.0,13.7%,0.8,.300,3.35,58%,19%,22%,29%,72%,5.4,117.6018
