HQID,MLBAMID,Player,Age,Bats,Team,Lg,Pos,LY5,LY10,LY15,LY20,LIMA,"MM Code",MM,ADP,"Min ADP","Max ADP",DL,12$,15$,PA,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,OPS,BB%,ct%,Eye,h%,PX,SPD,RSpd,G%,L%,F%,xBA,BA,RC/G,RAR,BPX
8007,691182,"Amador, Adael",21,B,COL,NL,2B,4,4,4,4,D,"0303 ADD",18,498.13,378,750,13,-8,-8,272,243,31,52,7,1,3,25,28,54,16,7,.215,.295,.297,0.592,10%,0.78,0.52,26%,48,92,94,47%,12%,41%,.200,40%,2.7,-9.1,
7224,676070,"Amaya, Jacob",26,R,CWS,AL,SS,6,6,6,6,F,"0400 AFF",0,,,,,-19,-19,34,31,2,5,0,0,0,2,2,9,0,,.176,.212,.243,0.456,6%,0.69,0.22,23%,,106,106,44%,20%,36%,.160,25%,1.0,-3.2,
6614,665804,"Amaya, Miguel",26,R,CHI,NL,C,2,2,2,2,C,"2223 ACA",27,377.46,206,524,,-6,-6,306,280,29,69,13,1,9,40,25,60,0,,.247,.308,.405,0.713,8%,0.78,0.42,28%,92,78,78,39%,20%,41%,.243,45%,4.1,4.6,103
4962,641313,"Anderson, Tim",31,R,LAA,AL,SS,6,6,6,6,F,"0201 FFF",3,477.01,453,750,117,-17,-17,136,130,10,29,2,0,0,6,5,36,2,1,.228,.252,.269,0.521,3%,0.72,0.14,31%,14,96,78,53%,22%,35%,.205,25%,2.0,-9.0,
5637,609280,"Andujar, Miguel",30,R,ATH,AL,OF,7o,7o,7o,7o,D+,"1233 FBB",27,499.08,302,748,79,-3,-3,340,323,34,86,14,1,7,37,17,49,3,2,.267,.303,.387,0.690,5%,0.85,0.35,30%,68,90,60,49%,16%,35%,.245,35%,4.0,-0.8,114
8152,701350,"Anthony, Roman",20,L,BOS,AL,CF,8,8,8,8,F,"3223 AFF",30,288.94,133,398,,-5,-5,272,241,35,61,14,1,6,25,30,70,7,4,.254,.336,.414,0.750,11%,0.71,0.43,33%,101,89,73,44%,20%,36%,.234,35%,4.4,1.6,57
7006,666018,"Aranda, Jonathan",26,L,TB,AL,DH,304,3,3,3,C,"3013 BBC",21,331.01,205,526,48,3,3,442,402,62,99,17,1,16,55,39,121,1,1,.249,.313,.424,0.737,8%,0.70,0.32,31%,111,76,39,51%,15%,34%,.230,25%,4.3,-3.2,39
5088,606115,"Arcia, Orlando",30,R,ATL,NL,SS,6,6,6,6,B,"2225 BAB",55,433.15,229,581,47,-0,-0,510,470,52,111,20,,16,51,39,105,1,,.238,.295,.386,0.681,7%,0.77,0.37,27%,89,73,74,50%,16%,34%,.236,35%,3.8,-6.4,75
4027,571448,"Arenado, Nolan",33,R,STL,NL,3B,50,5,5,5,A,"2145 AAC",60,217.80,135,291,11,11,11,612,563,66,148,26,1,18,78,48,90,2,2,.263,.321,.412,0.733,7%,0.84,0.53,29%,84,80,42,39%,21%,41%,.260,45%,4.5,5.1,160
6618,672356,"Arias, Gabriel",25,R,CLE,AL,2B,56o4,56,5,4,F,"2103 AFF",18,464.66,455,750,6,-11,-11,272,252,29,55,12,0,6,22,19,88,4,2,.222,.273,.359,0.632,7%,0.65,0.22,31%,93,80,57,53%,20%,26%,.218,30%,3.0,-7.3,
6232,668227,"Arozarena, Randy",30,R,SEA,AL,LF,o780,o7,o7,o7,B,"4225 AAB",65,130.06,70,199,,13,13,578,515,77,125,29,0,21,67,62,153,20,9,.243,.324,.427,0.752,10%,0.70,0.41,30%,124,83,74,45%,16%,38%,.236,40%,4.5,7.2,103
6140,650333,"Arraez, Luis",27,L,SD,NL,1B,304,304,304,304,B+,"1255 AAD",65,175.25,64,272,8,21,21,646,608,80,197,33,2,5,56,37,34,6,2,.324,.363,.417,0.780,5%,0.94,1.09,34%,52,86,64,42%,27%,32%,.296,65%,5.6,20.0,207
5393,664056,"Bader, Harrison",30,R,MIN,AL,CF,8o,8o,8o,8o,C,"1213 DAB",21,472.88,316,605,157,-5,-5,306,290,38,66,11,0,7,33,15,65,11,4,.230,.266,.351,0.616,4%,0.78,0.23,27%,70,84,79,41%,18%,41%,.224,35%,2.9,-11.0,10
7169,678225,"Bae, Ji Hwan",25,L,PIT,NL,2B,o89,o89,o,o,F,"1303 AFF",21,452.93,388,723,89,-3,-3,272,243,33,68,8,2,3,27,28,71,9,3,.281,.354,.390,0.745,10%,0.71,0.39,38%,60,111,96,44%,20%,36%,.208,20%,4.6,4.9,
4521,595879,"Baez, Javier",32,R,DET,AL,SS,6,6,6,6,D+,"2213 CAB",24,493.90,425,750,65,-9,-9,306,290,31,60,11,0,9,37,15,80,6,0,.208,.246,.353,0.599,4%,0.72,0.19,25%,87,70,70,48%,17%,34%,.225,35%,2.8,-13.1,
7322,672275,"Bailey, Patrick",25,B,SF,NL,C,2,2,2,2,D+,"1213 BBA",21,310.42,151,405,37,-5,-5,442,408,42,93,17,0,7,49,34,111,3,,.229,.287,.333,0.621,7%,0.73,0.31,30%,67,64,66,41%,24%,35%,.225,30%,3.1,-6.1,
8110,671117,"Baker, Darren",26,L,WSH,NL,2B,4,4,4,4,F,"0300 AFF",0,,,,,-18,-18,34,31,3,7,1,0,,2,2,7,1,0,.239,.273,.276,0.549,6%,0.76,0.29,29%,28,97,91,44%,20%,36%,.201,30%,2.5,-1.3,
7333,663609,"Baker, Luken",28,R,STL,NL,1B,3,3,3,3,D,"3003 AAF",18,462.23,437,745,,-12,-12,272,245,24,48,9,,9,37,26,82,,,.197,.273,.348,0.621,9%,0.66,0.32,25%,103,76,,36%,19%,45%,.206,30%,3.0,-10.8,
8041,681460,"Baldwin, Brooks",24,B,CWS,AL,SS,46,4,4,4,C,"1203 ADF",18,494.99,423,746,14,-3,-3,374,347,34,87,19,,6,33,26,82,13,4,.253,.303,.363,0.666,6%,0.76,0.32,31%,76,70,67,25%,22%,53%,.213,30%,3.7,-5.3,10
8134,686948,"Baldwin, Drake",23,L,ATL,NL,C,2,2,2,2,F,"1111 AFF",4,470.77,228,722,,-13,-13,136,120,12,30,4,0,3,19,15,28,0,0,.253,.333,.385,0.718,11%,0.77,0.54,30%,68,77,51,44%,20%,36%,.222,35%,4.1,1.7,32
8104,694208,"Ballesteros, Moises",21,L,CHI,NL,C,2,2,2,2,F,"2120 AFF",0,495.17,262,750,,-16,-16,68,63,6,16,3,0,2,8,4,14,0,0,.264,.298,.423,0.721,5%,0.78,0.29,30%,90,82,41,44%,20%,36%,.240,30%,4.0,0.9,78
7813,680718,"Barger, Addison",25,L,TOR,AL,3B,5o97,5o9,5o9,5o9,D,"2111 ABC",5,499.27,417,747,,-13,-13,238,218,23,46,12,,4,25,19,63,2,1,.211,.274,.332,0.606,8%,0.71,0.30,28%,83,73,48,44%,22%,34%,.227,40%,2.8,-9.1,
4831,605131,"Barnes, Austin",35,R,LA,NL,C,2,2,2,2,F,"0301 AFF",4,455.91,411,748,11,-16,-16,136,124,10,29,2,,1,9,11,31,0,,.238,.296,.294,0.590,8%,0.75,0.35,30%,27,85,85,46%,20%,34%,.192,25%,2.7,-3.3,
7881,678489,"Barrosa, Jorge",24,B,ARI,NL,OF,o,o,o,o,F,"1211 AFF",5,,,,,-14,-14,204,188,19,40,9,0,2,18,15,44,5,3,.214,.271,.312,0.583,7%,0.76,0.34,27%,59,74,60,44%,20%,36%,.222,40%,2.5,-9.1,
6283,663698,"Bart, Joey",28,R,PIT,NL,C,20,20,2,2,C,"3203 CCF",24,260.88,147,410,86,-2,-2,408,376,48,90,15,,13,50,31,121,0,,.240,.297,.389,0.686,7%,0.68,0.26,32%,101,68,68,47%,18%,35%,.216,25%,3.8,2.7,
8103,694212,"Basallo, Samuel",20,L,BAL,AL,1B,3,3,3,3,F,"2120 AFF",0,501.47,307,748,,-16,-16,68,63,7,16,3,,2,7,4,15,1,0,.254,.298,.407,0.706,5%,0.76,0.27,30%,92,84,58,44%,20%,36%,.242,35%,4.1,-0.4,60
7058,676946,"Batten, Matthew",29,R,ATL,NL,3B,5,5,5,5,F,"0300 AFF",0,,,,,-19,-19,34,32,3,5,1,0,0,2,1,9,0,0,.178,.182,.253,0.434,3%,0.69,0.11,22%,30,100,93,44%,20%,36%,.183,30%,1.0,-3.3,
6564,683146,"Baty, Brett",25,L,NYM,NL,3B,5,5,5,5,D,"1003 ABA",12,487.18,318,703,39,-12,-12,272,247,27,53,8,,5,28,24,78,0,0,.216,.284,.322,0.606,8%,0.68,0.31,29%,67,75,37,52%,18%,30%,.200,25%,2.8,-10.2,
5482,641343,"Bauers, Jake",29,L,MIL,NL,1B,3o097,3o0,3o,3,D,"2201 ABF",5,468.87,479,750,17,-15,-15,136,120,15,23,3,0,4,14,15,47,3,0,.194,.281,.350,0.631,11%,0.61,0.32,28%,93,83,77,33%,20%,47%,.185,25%,2.9,-5.5,
7862,687597,"Beck, Jordan",23,R,COL,NL,RF,o79,o79,o7,o7,D,"1303 CDA",21,446.09,298,599,70,-8,-8,408,374,36,80,18,1,5,31,33,132,12,3,.215,.278,.318,0.595,8%,0.64,0.25,32%,78,92,88,47%,21%,32%,.206,25%,2.8,-13.2,
5084,605137,"Bell, Josh",32,B,WSH,NL,DH,30,30,30,30,B,"3035 AAC",55,363.18,242,462,,4,4,476,427,51,109,19,1,20,60,48,96,,1,.255,.331,.453,0.784,10%,0.77,0.50,29%,113,71,0,50%,18%,32%,.257,45%,5.0,4.7,157
5461,641355,"Bellinger, Cody",29,L,NYY,AL,CF,o9803,o9803,o9803,o9803,B+,"3435 CAF",75,102.12,43,155,64,20,20,612,558,87,142,25,3,26,90,53,103,14,3,.256,.319,.457,0.776,8%,0.81,0.51,27%,110,105,100,36%,18%,45%,.256,45%,4.9,12.8,232
6132,621532,"Bemboom, Anthony",35,L,DET,AL,C,2,2,2,2,F,"0000 AFF",0,,,,,-19,-19,34,30,2,4,1,,0,2,3,11,,,.166,.212,.238,0.450,9%,0.64,0.27,21%,36,88,,44%,20%,36%,.169,25%,1.0,-2.6,
5209,643217,"Benintendi, Andrew",30,L,CWS,AL,LF,o7,o7,o7,o7,B+,"1135 CAB",50,391.25,271,561,47,4,4,510,466,54,119,23,0,12,57,43,85,6,2,.256,.318,.393,0.711,8%,0.82,0.51,29%,79,68,52,39%,21%,39%,.247,45%,4.2,1.8,103
7084,666181,"Benson, Will",26,L,CIN,NL,RF,o7980,o798,o798,o798,C,"4403 AAF",33,500.07,311,746,,-7,-7,272,241,34,52,12,2,8,27,30,100,11,3,.217,.303,.392,0.694,11%,0.58,0.30,33%,135,100,100,37%,21%,42%,.204,20%,3.8,-1.2,
