HQID,MLBAMID,Player,Age,Bats,Team,Lg,Pos,LY5,LY10,LY15,LY20,LIMA,"MM Code",MM,ADP,"Min ADP","Max ADP",DL,12$,15$,PA,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,OPS,BB%,ct%,Eye,h%,PX,SPD,RSpd,G%,L%,F%,xBA,BA,RC/G,RAR,BPX
4567,621439,"Buxton, Byron",31,R,MIN,AL,CF,8o,8o,8o,8o,B,"5445 FAC",90,228.85,133,322,167,15,15,476,440,77,113,29,2,28,68,35,133,9,1,.259,.312,.531,0.843,7%,0.70,0.26,30%,177,102,102,31%,20%,49%,.261,30%,5.7,19.1,242
7303,676609,"Caballero, Jose",28,R,TB,AL,SS,654,654,654,654,C,"1403 AAB",24,300.79,81,428,,-1,-1,340,312,41,68,14,0,6,32,27,88,31,8,.218,.280,.328,0.608,7%,0.72,0.31,28%,74,89,118,36%,22%,42%,.213,30%,3.0,-11.6,
7104,665828,"Cabrera, Oswaldo",26,B,NYY,AL,3B,5346o,534,5,5,D,"1213 ABC",21,503.63,349,749,,2,2,442,410,61,99,17,,11,45,31,99,9,3,.243,.295,.365,0.660,7%,0.76,0.31,29%,79,77,66,41%,19%,40%,.228,35%,3.6,-7.1,21
8191,695506,"Caglianone, Jac",,L,KC,AL,1B,3,3,3,3,F,"1100 AFF",0,477.16,355,750,,-19,-19,68,65,5,12,2,,1,5,2,19,0,0,.192,.209,.284,0.493,2%,0.70,0.11,24%,55,87,43,44%,20%,36%,.197,30%,1.7,-5.5,
8105,683357,"Caissie, Owen",22,L,CHI,NL,OF,o,o,o,o,F,"2200 AFF",0,492.00,338,750,,-16,-16,68,61,6,14,3,0,1,7,6,22,1,0,.242,.298,.394,0.693,8%,0.64,0.27,34%,83,83,72,44%,20%,36%,.198,15%,3.3,-1.3,
7066,669743,"Call, Alex",30,R,WSH,NL,LF,o9,o9,o9,o9,D+,"2221 ABB",7,475.46,416,750,22,-10,-10,238,212,25,47,11,,6,25,25,49,6,3,.225,.304,.363,0.667,10%,0.77,0.51,26%,90,83,71,41%,19%,40%,.238,50%,3.5,-3.5,100
7979,665856,"Camargo, Jair",25,R,MIN,AL,C,2,2,2,2,F,"3001 AFF",4,,,,,-18,-18,238,225,18,37,10,0,6,26,12,87,0,0,.166,.207,.304,0.511,5%,0.61,0.14,23%,101,70,35,44%,20%,36%,.197,35%,1.8,-13.0,
7851,691406,"Caminero, Junior",21,R,TB,AL,3B,5,5,5,5,B+,"2115 BCC",45,85.40,38,155,,7,7,544,509,58,130,18,1,17,67,34,117,3,3,.257,.302,.402,0.704,6%,0.77,0.29,30%,85,78,42,48%,13%,39%,.223,30%,4.0,-2.5,46
8154,692225,"Campbell, Kristian",22,R,BOS,AL,2B,4,4,4,4,F,"2331 AFF",9,303.18,132,517,,-6,-6,170,151,24,44,9,1,4,19,18,32,8,4,.295,.367,.452,0.819,10%,0.78,0.56,35%,97,100,90,44%,20%,36%,.257,35%,5.6,7.5,160
6545,669134,"Campusano, Luis",26,R,SD,NL,C,2,2,2,2,D+,"2033 DCF",24,394.14,198,641,111,-2,-2,340,321,44,81,12,,11,44,18,56,,,.253,.292,.398,0.690,5%,0.82,0.32,28%,80,70,,43%,20%,37%,.251,40%,3.9,3.1,100
5306,600869,"Candelario, Jeimer",31,B,CIN,NL,1B,530,530,530,530,B,"3133 BAD",30,303.82,181,394,42,1,1,442,410,51,98,23,1,16,52,31,106,3,1,.240,.292,.428,0.721,7%,0.74,0.29,28%,116,72,51,42%,19%,39%,.248,35%,4.1,-3.5,96
4866,592192,"Canha, Mark",36,R,MIL,NL,1B,3o079,3o079,3o079,3o07,D+,"1311 AAB",6,508.06,390,749,7,-8,-8,238,212,26,54,11,,4,25,25,49,4,,.257,.333,.372,0.705,10%,0.77,0.51,31%,75,79,84,48%,17%,35%,.230,40%,4.3,-0.7,50
7373,686527,"Canzone, Dominic",27,L,SEA,AL,OF,o97,o97,o97,o97,D+,"2101 CBB",4,457.64,617,750,61,-13,-13,170,157,18,34,7,0,5,19,12,41,1,0,.223,.272,.385,0.657,7%,0.74,0.29,26%,92,68,53,44%,14%,42%,.217,30%,3.2,-4.1,21
6984,681962,"Capra, Vinny",28,R,MIL,NL,3B,5,5,5,5,F,"0200 AFF",0,451.22,649,649,4,-18,-18,34,31,2,6,1,0,0,2,2,8,0,0,.205,.242,.296,0.538,6%,0.72,0.25,26%,30,94,73,44%,20%,36%,.187,30%,1.7,-2.4,
5508,605170,"Caratini, Victor",31,B,HOU,AL,C,23,23,2,2,D,"1011 BCB",3,488.67,343,689,39,-10,-10,238,216,24,54,6,,6,26,21,49,,0,.252,.317,.377,0.693,8%,0.77,0.43,30%,67,72,,51%,20%,30%,.231,40%,3.9,1.9,14
6294,666185,"Carlson, Dylan",26,B,BAL,AL,CF,o798,o798,o798,o798,D+,"1101 FBB",3,472.63,462,748,148,-16,-16,102,92,9,20,3,0,2,10,9,25,0,0,.222,.287,.332,0.619,8%,0.73,0.36,28%,66,77,58,42%,20%,38%,.210,30%,2.9,-3.4,
7094,681481,"Carpenter, Kerry",27,L,DET,AL,DH,o90,o90,o90,o90,B,"4045 FBC",65,187.30,103,264,129,15,15,510,473,62,127,24,4,29,85,36,135,1,4,.269,.320,.526,0.846,7%,0.71,0.27,32%,159,83,27,40%,18%,42%,.262,30%,5.6,13.7,192
6462,682998,"Carroll, Corbin",24,L,ARI,NL,RF,o89,o89,o89,o89,D+,"4545 AAF",90,10.19,3,18,,30,30,612,550,111,148,24,11,23,72,61,131,39,6,.269,.342,.480,0.822,9%,0.76,0.47,32%,122,145,168,44%,18%,37%,.260,45%,5.9,31.2,242
7156,694497,"Carter, Evan",22,L,TEX,AL,CF,o79,o7,o7,o7,C+,"2403 DDF",27,269.71,149,359,111,2,2,442,394,54,93,15,5,11,44,47,118,15,4,.238,.318,.392,0.710,10%,0.70,0.40,31%,97,121,117,42%,17%,41%,.219,25%,4.1,-0.8,60
4688,592200,"Casali, Curt",36,R,ATL,NL,C,2,2,2,2,F,"0000 DFC",0,,,,117,-19,-19,34,30,3,5,0,,0,2,3,9,,,.200,.242,.288,0.531,9%,0.69,0.33,24%,,92,,36%,20%,44%,.154,20%,1.2,-2.3,
6793,671213,"Casas, Triston",25,L,BOS,AL,1B,3,3,3,3,B,"4025 FBD",55,113.12,49,184,134,11,11,612,535,73,128,26,1,32,74,76,174,1,2,.240,.334,.477,0.811,12%,0.67,0.44,29%,156,69,24,42%,17%,41%,.243,40%,5.2,13.4,150
4245,592206,"Castellanos, Nick",33,R,PHI,NL,RF,9o,9o,9o,9o,B,"3245 AAB",70,168.38,90,246,24,17,17,612,575,76,151,31,2,23,86,36,144,6,1,.264,.306,.453,0.759,5%,0.75,0.25,31%,116,80,66,39%,23%,38%,.258,30%,4.7,12.7,107
6243,650489,"Castro, Willi",27,B,MIN,AL,3B,o64785,o64785,o64785,o64785,C+,"2315 AAC",55,224.50,121,321,29,5,5,476,440,67,109,21,3,10,46,35,116,15,7,.249,.303,.389,0.692,7%,0.74,0.30,32%,87,106,92,40%,21%,38%,.229,25%,3.8,-5.1,42
8060,665953,"Chaparro, Andres",25,R,WSH,NL,3B,03,03,5,5,B,"2201 AAD",5,462.59,492,749,,-15,-15,102,94,10,22,5,0,2,13,7,23,0,0,.241,.287,.379,0.666,6%,0.75,0.30,29%,81,81,61,40%,15%,44%,.205,25%,3.4,-2.3,14
5407,656305,"Chapman, Matt",31,R,SF,NL,3B,5,5,5,5,A,"4325 BAA",70,127.25,70,201,18,12,12,612,547,84,132,35,2,25,72,64,167,9,1,.241,.321,.456,0.776,10%,0.69,0.38,30%,145,98,89,36%,16%,48%,.238,30%,4.9,12.0,167
6209,665862,"Chisholm Jr., Jazz",27,L,NYY,AL,2B,8o5,8o5,8o5,8o5,D+,"4425 FAA",75,23.44,13,56,184,29,29,680,622,91,157,24,4,29,90,57,184,42,9,.254,.315,.450,0.765,8%,0.70,0.31,31%,122,101,116,46%,17%,37%,.243,30%,4.9,17.6,103
7858,694192,"Chourio, Jackson",21,R,MIL,NL,RF,o79,o79,o79,o79,D+,"3455 AAF",85,17.35,6,36,,24,24,612,569,81,153,29,3,23,82,42,127,29,8,.270,.319,.457,0.776,6%,0.78,0.33,31%,111,99,102,48%,20%,32%,.270,40%,5.0,17.8,160
8128,672016,"Clarke, Denzel",24,R,ATH,AL,OF,o,o,o,o,F,"1501 AFF",7,470.89,563,750,,-14,-14,102,94,12,22,4,1,1,9,7,36,6,2,.237,.287,.369,0.656,6%,0.62,0.19,37%,79,115,129,44%,20%,36%,.193,10%,3.2,-2.5,
7244,682729,"Clase, Jonatan",22,B,TOR,AL,OF,o78,o7,o,o,D,"0400 ABA",0,495.01,340,750,,-16,-16,68,62,8,14,2,0,0,5,5,21,5,1,.240,.284,.352,0.636,7%,0.66,0.24,34%,33,97,109,39%,9%,52%,.139,15%,2.6,-2.7,
7018,665019,"Clemens, Kody",28,L,PHI,NL,1B,3547o,35,3,3,F,"2200 AFF",0,451.58,563,735,29,-17,-17,68,64,6,13,2,0,2,7,3,19,0,0,.207,.239,.354,0.593,4%,0.70,0.16,26%,83,81,65,44%,20%,36%,.216,35%,2.5,-3.7,
6716,676391,"Clement, Ernie",28,R,TOR,AL,3B,56,56,56,56,B,"1343 AAD",33,395.55,238,541,,-1,-1,408,392,44,99,18,2,9,41,15,39,8,2,.253,.280,.383,0.663,3%,0.90,0.38,26%,69,107,96,40%,21%,39%,.268,50%,3.6,-6.4,203
7206,693049,"Colas, Oscar",26,L,CWS,AL,OF,o9,o,o,o,F,"1201 AFF",4,462.08,606,748,,-17,-17,170,157,14,30,6,1,3,12,12,50,3,3,.192,.248,.308,0.557,7%,0.68,0.24,26%,78,99,63,44%,20%,36%,.211,35%,2.2,-9.3,
8101,686555,"Collins, Isaac",27,B,MIL,NL,2B,4,4,4,4,F,"1200 AFF",0,,,,,-16,-16,68,60,7,13,3,0,1,7,7,17,2,0,.220,.298,.367,0.665,10%,0.71,0.41,29%,75,90,78,44%,20%,36%,.216,40%,3.3,-1.2,
4982,624424,"Conforto, Michael",32,L,LA,NL,RF,7o0,7o0,7o0,7o0,B,"4135 CAA",65,291.12,75,434,45,8,8,544,485,69,116,26,1,25,73,58,137,2,1,.241,.320,.455,0.775,10%,0.72,0.42,28%,138,69,48,42%,20%,38%,.256,45%,4.8,12.7,150
8083,665052,"Conine, Griffin",27,L,MIA,NL,RF,o97,o9,o9,o,F,"3003 AFF",18,499.16,337,750,,-9,-9,306,281,32,61,12,0,10,36,24,113,,,.218,.279,.384,0.663,7%,0.59,0.21,32%,119,72,,44%,20%,36%,.201,20%,3.3,-5.4,
6298,661388,"Contreras, William",27,R,MIL,NL,C,20,20,20,20,B+,"4245 AAA",75,24.68,13,44,,18,18,612,541,83,148,32,1,23,80,70,137,5,1,.275,.357,.470,0.827,11%,0.75,0.51,33%,123,84,66,54%,17%,30%,.266,40%,5.8,34.8,167
5162,575929,"Contreras, Willson",32,R,STL,NL,1B,20,20,20,20,B,"4135 DAA",65,75.34,37,145,103,10,10,544,482,72,122,26,,23,63,61,140,5,2,.253,.337,.453,0.790,11%,0.71,0.44,31%,132,72,55,45%,20%,35%,.253,40%,5.2,11.2,125
8095,695257,"Cook, Billy",26,R,PIT,NL,1B,o,o,3,3,F,"2311 AFF",7,,,,,-9,-9,238,215,26,48,10,1,5,27,22,68,9,3,.223,.295,.364,0.659,9%,0.68,0.32,30%,91,92,87,44%,20%,36%,.220,30%,3.4,-6.5,
4792,621043,"Correa, Carlos",30,R,MIN,AL,SS,6,6,6,6,B,"3045 DAF",60,236.63,122,351,109,16,16,578,506,74,143,28,1,22,76,71,107,,,.283,.371,.479,0.850,12%,0.79,0.66,32%,115,80,,46%,19%,36%,.266,45%,6.2,28.6,207
7171,681297,"Cowser, Colton",24,L,BAL,AL,LF,o789,o789,o789,o78,C+,"4215 AAB",60,159.45,91,218,,14,14,578,515,89,125,24,1,26,74,62,184,10,4,.243,.324,.450,0.774,10%,0.64,0.34,32%,145,81,64,44%,18%,37%,.232,20%,4.8,12.0,75
5041,641487,"Crawford, J.P.",30,L,SEA,AL,SS,6,6,6,6,B+,"1225 CAF",50,425.90,282,572,75,2,2,544,479,69,117,22,1,10,46,64,112,4,0,.246,.333,.364,0.698,11%,0.77,0.57,30%,75,86,74,43%,21%,36%,.236,40%,4.1,-2.1,64
8106,702222,"Crawford, Justin",21,L,PHI,NL,OF,o,o,o,o,F,"1320 AFF",0,461.90,591,750,,-14,-14,68,64,8,19,3,,1,8,3,12,4,0,.305,.328,.418,0.747,4%,0.81,0.25,35%,62,84,98,44%,20%,36%,.238,25%,5.1,1.8,28
7879,686611,"Crews, Dylan",23,R,WSH,NL,RF,o9,o9,o9,o9,B,"2535 ACD",75,129.42,80,227,,14,14,612,567,67,135,26,6,15,68,44,134,34,9,.239,.293,.390,0.682,7%,0.76,0.33,29%,92,114,127,48%,20%,32%,.254,40%,3.8,-2.5,103
6333,630105,"Cronenworth, Jake",31,L,SD,NL,2B,34,34,34,34,B+,"2235 BAA",60,277.34,144,358,38,6,6,646,582,74,138,31,4,14,74,63,119,5,1,.238,.312,.384,0.696,9%,0.79,0.53,28%,87,90,79,41%,20%,39%,.248,45%,3.9,0.5,128
7808,691718,"Crow-Armstrong, Pete",22,L,CHI,NL,CF,8o,8o,8o,8o,C+,"3515 ABA",70,137.67,70,220,,14,14,544,510,73,124,23,6,14,64,33,150,34,7,.244,.289,.401,0.690,6%,0.71,0.22,32%,101,117,138,39%,20%,42%,.227,30%,3.9,-3.6,42
6776,665833,"Cruz, Oneil",26,L,PIT,NL,CF,68o0,68o,68o,68o,B,"4435 FAC",80,39.47,17,61,176,21,21,612,558,77,143,29,5,25,78,53,184,27,4,.257,.321,.464,0.785,8%,0.67,0.29,34%,141,100,109,49%,18%,34%,.250,30%,5.2,16.9,107
7145,680779,"Davis, Henry",25,R,PIT,NL,C,2,2,2,2,D,"1103 FCD",15,477.52,308,671,203,-10,-10,272,246,30,53,11,,5,28,25,75,5,2,.217,.288,.335,0.623,9%,0.69,0.33,29%,79,75,59,40%,19%,41%,.207,25%,3.0,-4.5,
5673,605204,"Davis, J.D.",31,R,LAA,AL,1B,350,35,3,3,F,"1001 AFF",2,456.11,565,750,35,-25,-25,170,162,7,17,2,,2,6,7,99,,,.105,.142,.169,0.311,4%,0.39,0.07,25%,59,96,,44%,20%,36%,.109,25%,0.6,-21.3,
6808,650559,"De La Cruz, Bryan",28,R,ATL,NL,LF,o709,o709,o709,o709,B,"2121 AAA",6,429.30,182,629,,-13,-13,136,128,12,31,6,,4,15,7,38,1,0,.247,.281,.399,0.681,5%,0.70,0.18,31%,98,75,56,42%,23%,35%,.233,25%,3.7,-1.4,
7176,682829,"De La Cruz, Elly",23,B,CIN,NL,SS,6,6,6,6,D+,"4525 AAB",80,4.41,1,10,,26,26,578,525,85,133,29,7,22,65,52,191,51,13,.255,.321,.469,0.790,9%,0.64,0.27,36%,152,117,153,46%,22%,31%,.244,20%,5.1,13.6,110
7882,691277,"De Los Santos, Deyvison",21,R,MIA,NL,1B,3,3,3,3,F,"3021 AFF",6,426.56,290,598,,-7,-7,238,225,28,55,8,0,10,31,12,64,0,0,.248,.283,.422,0.705,5%,0.71,0.19,30%,108,76,38,44%,20%,36%,.235,30%,3.9,-2.8,25
8063,665782,"De Los Santos, Luis",26,R,NYM,NL,SS,5,5,6,6,F,"0200 AFF",0,,,,,-18,-18,34,30,3,5,0,,0,2,3,10,0,0,.200,.242,.323,0.565,9%,0.65,0.30,25%,,101,67,44%,20%,36%,.154,20%,1.2,-2.9,
5566,657557,"DeJong, Paul",31,R,WSH,NL,3B,65,65,65,65,D+,"3003 BAB",18,463.17,266,697,25,-7,-7,374,351,39,73,12,,15,43,22,121,1,1,.210,.255,.379,0.633,5%,0.65,0.18,27%,113,67,35,34%,21%,45%,.214,30%,3.0,-12.8,
7938,800050,"DeLauter, Chase",23,L,CLE,AL,OF,o,o,o,o,F,"3140 AFF",0,417.97,269,665,,-18,-18,34,30,3,6,2,,1,4,3,5,0,0,.230,.273,.403,0.676,9%,0.82,0.60,21%,102,86,43,44%,20%,36%,.264,65%,3.2,-0.8,200
7867,676113,"DeLoach, Zach",26,L,CWS,AL,OF,o97,o,o,o,F,"0300 AFF",0,462.64,472,750,,-18,-18,34,31,3,7,1,0,0,3,2,11,1,0,.226,.273,.312,0.585,6%,0.63,0.18,35%,34,91,92,44%,20%,36%,.171,10%,2.5,-1.5,
7335,676356,"DeLuca, Jonny",26,R,TB,AL,CF,o987,o987,o98,o98,D+,"1515 CCB",60,366.83,240,549,74,5,5,544,506,59,119,21,4,9,59,37,108,23,4,.236,.287,.353,0.640,6%,0.79,0.34,28%,70,121,128,38%,20%,42%,.228,35%,3.4,-11.4,78
8054,680728,"Del Castillo, Adrian",25,L,ARI,NL,C,2,2,2,2,D,"4121 ABD",8,446.00,253,618,,-9,-9,238,218,26,51,11,1,10,29,19,65,1,1,.234,.291,.435,0.726,8%,0.70,0.29,28%,131,101,54,36%,20%,44%,.239,30%,4.0,3.1,117
7039,641511,"Delay, Jason",30,R,PIT,NL,C,2,2,2,2,F,"0101 AFF",2,451.16,591,591,64,-17,-17,170,160,13,34,6,,1,10,9,35,1,1,.214,.254,.273,0.528,5%,0.78,0.26,27%,42,86,48,44%,20%,36%,.214,35%,2.2,-7.0,
6425,672701,"Devers, Jose",25,L,ATL,NL,SS,6,6,6,6,F,"0200 AFF",0,,,,40,-19,-19,34,32,3,6,1,0,0,2,1,7,0,0,.198,.212,.287,0.499,3%,0.78,0.14,24%,27,92,61,44%,20%,36%,.202,40%,1.5,-2.8,
5208,646240,"Devers, Rafael",28,L,BOS,AL,3B,50,5,5,5,B+,"4155 AAB",75,33.70,14,60,20,21,21,612,539,85,147,35,2,29,93,72,136,3,0,.274,.358,.513,0.872,11%,0.75,0.53,32%,148,71,58,42%,21%,37%,.276,40%,6.4,34.3,228
8053,701305,"Dezenzo, Zach",24,R,HOU,AL,1B,3,3,3,3,D,"3211 ADA",7,486.06,373,749,,-8,-8,238,219,26,51,11,,7,31,18,74,5,1,.235,.291,.394,0.685,7%,0.66,0.24,32%,109,82,71,48%,18%,35%,.223,25%,3.7,-4.4,
4837,553869,"Diaz, Elias",34,R,SD,NL,C,20,20,20,2,D,"2013 BAB",18,487.13,250,748,30,-9,-9,306,286,25,69,16,,6,36,19,64,,,.245,.288,.370,0.659,6%,0.77,0.30,29%,81,72,,49%,18%,33%,.229,35%,3.5,-0.7,39
7054,673237,"Diaz, Yainer",26,R,HOU,AL,C,203,203,20,20,B,"3255 AAC",75,55.10,27,79,,17,17,578,555,69,158,29,1,22,84,22,111,0,,.286,.312,.464,0.776,3%,0.80,0.20,32%,105,75,75,48%,22%,30%,.274,35%,5.1,23.8,128
5430,650490,"Diaz, Yandy",33,R,TB,AL,1B,30,30,30,30,B+,"2045 AAF",55,197.70,100,272,2,15,15,612,548,73,160,32,,16,69,63,88,1,1,.293,.365,.444,0.809,10%,0.84,0.72,32%,89,75,38,53%,18%,29%,.265,45%,5.7,20.7,185
7188,693307,"Dingler, Dillon",26,R,DET,AL,C,2,2,2,2,D,"1103 ABA",15,499.16,358,750,,-12,-12,272,254,24,55,11,1,4,30,17,88,1,0,.218,.266,.336,0.602,6%,0.65,0.19,31%,78,83,57,42%,22%,36%,.204,25%,2.7,-6.5,
6772,691176,"Dominguez, Jasson",22,B,NYY,AL,LF,o7,o7,o,7,C+,"2325 DDA",60,144.93,80,222,99,13,13,578,525,77,128,17,1,15,62,52,149,29,5,.244,.312,.370,0.681,9%,0.71,0.35,31%,80,85,93,52%,20%,28%,.236,30%,4.0,-0.5,
6978,680977,"Donovan, Brendan",28,L,STL,NL,2B,7o45,7o4,7o4,7o4,B,"1145 CAB",55,235.32,147,329,63,9,9,544,497,63,137,24,1,12,57,46,78,6,4,.277,.337,.407,0.745,8%,0.84,0.59,31%,75,78,51,45%,22%,33%,.266,45%,4.7,10.9,139
7230,686668,"Doyle, Brenton",26,R,COL,NL,CF,8o,8o,8o,8o,C+,"3525 AAC",75,73.16,34,135,,12,12,544,510,67,123,21,4,19,64,33,159,24,4,.242,.287,.414,0.701,6%,0.69,0.21,31%,113,118,130,43%,20%,37%,.234,30%,4.1,-1.7,53
4867,592273,"Drury, Brandon",32,R,CWS,AL,2B,4503,4503,450,4,D+,"2013 BAF",18,499.30,297,750,45,-9,-9,272,254,30,59,10,0,7,28,17,65,0,0,.234,.280,.372,0.653,6%,0.74,0.26,29%,80,75,37,51%,17%,32%,.222,30%,3.3,-4.7,
5475,643289,"Dubon, Mauricio",30,R,HOU,AL,OF,o748395,o74839,o7483,o748,C+,"1233 AAB",27,466.59,270,734,,2,2,442,420,51,112,22,1,7,45,21,70,5,2,.268,.302,.381,0.683,4%,0.83,0.30,31%,69,92,68,42%,21%,37%,.251,40%,3.9,-1.6,96
8130,687867,"Dungan, Clay",28,L,SD,NL,SS,6,6,6,6,F,"1200 AFF",0,,,,,-18,-18,68,61,6,11,3,0,0,6,6,21,2,0,.188,.254,.300,0.554,8%,0.64,0.29,28%,51,84,74,44%,20%,36%,.184,25%,2.0,-4.4,
8012,694362,"Dunn, Blake",26,R,CIN,NL,OF,o7,o7,o,o,F,"0400 AFF",0,451.60,718,723,,-18,-18,34,31,3,6,1,0,0,2,2,11,1,0,.194,.242,.276,0.518,6%,0.62,0.18,30%,34,97,101,44%,20%,36%,.167,20%,1.9,-2.1,
7976,686554,"Dunn, Oliver",27,L,MIL,NL,3B,50,5,5,5,F,"3221 FFF",8,461.91,377,750,88,-8,-8,238,210,27,49,11,1,5,28,27,70,6,2,.234,.321,.385,0.706,11%,0.66,0.39,33%,101,88,78,48%,24%,27%,.233,30%,3.9,-1.6,
7013,677649,"Duran, Ezequiel",25,R,TEX,AL,3B,5o7306,5o730,5o7,5o,D+,"1201 ABC",4,501.01,394,750,8,-14,-14,136,129,15,31,6,0,2,12,6,34,2,1,.241,.274,.347,0.621,4%,0.73,0.18,31%,68,94,69,44%,17%,39%,.210,25%,3.0,-4.4,
6629,680776,"Duran, Jarren",28,L,BOS,AL,LF,o87,o87,o87,o87,D+,"4545 BAC",90,21.91,9,39,42,18,18,578,532,78,144,37,7,17,57,45,137,27,5,.272,.328,.467,0.795,7%,0.74,0.33,34%,127,114,125,46%,19%,35%,.264,30%,5.4,21.0,178
8151,702332,"Durbin, Caleb",25,R,MIL,NL,3B,5,5,5,5,F,"2353 AFF",39,412.79,252,724,,1,1,374,335,44,77,22,1,8,44,38,50,23,5,.231,.308,.374,0.683,10%,0.85,0.76,25%,88,82,94,44%,20%,36%,.272,70%,3.9,-2.5,203
6161,669242,"Edman, Tommy",29,B,LA,NL,CF,8o6,8o6,8o6,8o,B+,"2335 FBA",65,182.89,108,300,171,14,14,612,567,83,142,26,3,14,62,44,113,25,3,.251,.304,.383,0.688,7%,0.80,0.39,29%,80,92,99,48%,19%,33%,.254,40%,4.1,-1.2,100
6325,669364,"Edwards, Xavier",25,B,MIA,NL,SS,6,6,6,6,B,"0535 CBD",65,147.94,58,280,72,16,16,612,559,69,160,24,5,1,41,52,93,37,8,.287,.347,.355,0.702,8%,0.83,0.56,34%,45,121,129,49%,21%,30%,.248,40%,4.5,5.3,89
8121,805811,"Eldridge, Bryce",20,L,SF,NL,1B,3,3,3,3,F,"2001 AFF",3,496.97,337,730,,-10,-10,238,219,26,52,8,0,5,28,18,81,0,0,.238,.295,.363,0.659,7%,0.63,0.22,35%,83,76,38,44%,20%,36%,.193,15%,3.4,-6.5,
6426,666464,"Encarnacion, Jerar",27,R,SF,NL,OF,o097,o09,o0,o,D,"3001 ABC",4,474.94,168,728,,-12,-12,204,189,20,42,6,,6,25,14,77,1,1,.225,.276,.366,0.641,6%,0.59,0.18,34%,100,71,39,48%,23%,29%,.202,15%,3.1,-5.4,
7177,687952,"Encarnacion-Strand, Christian",25,R,CIN,NL,1B,3,3,3,3,B,"3123 FDD",27,236.69,131,336,130,-5,-5,306,293,31,70,12,1,11,44,12,90,1,0,.241,.269,.406,0.674,3%,0.69,0.13,31%,108,78,53,43%,22%,36%,.236,25%,3.6,-6.6,
6409,669289,"Espinal, Santiago",30,R,CIN,NL,2B,540o67,540,54,54,D+,"0231 BAA",6,500.35,420,749,30,-10,-10,204,189,21,49,8,,2,21,14,29,4,0,.262,.310,.354,0.664,6%,0.85,0.48,30%,49,83,77,40%,24%,36%,.248,45%,3.7,-1.2,64
5764,642731,"Estrada, Thairo",29,R,COL,NL,2B,4,4,4,4,D,"2335 CAB",65,333.69,170,704,95,11,11,476,456,68,118,19,1,13,62,19,97,17,5,.260,.288,.400,0.688,4%,0.79,0.20,30%,81,89,86,45%,20%,34%,.247,30%,3.9,-0.5,57
6285,656413,"Fairchild, Stuart",28,R,CIN,NL,OF,o8970,o89,o89,o89,D,"2303 BCA",24,456.98,455,750,50,-8,-8,272,253,40,52,10,0,6,31,18,87,9,1,.208,.258,.338,0.596,6%,0.66,0.21,29%,84,79,82,38%,18%,45%,.195,25%,2.7,-10.3,
5666,571657,"Farmer, Kyle",34,R,COL,NL,2B,456,456,45,45,F,"2133 FFF",27,498.57,412,750,58,-5,-5,306,282,42,66,17,1,7,39,23,61,5,3,.237,.292,.391,0.682,7%,0.78,0.38,28%,93,82,57,41%,23%,34%,.254,40%,3.6,-2.9,103
8045,676439,"Feduccia, Hunter",27,L,LA,NL,C,2,2,2,2,F,"0100 AFF",0,451.50,459,749,,-18,-18,68,60,5,13,2,0,0,6,7,19,0,0,.222,.298,.323,0.621,10%,0.68,0.37,32%,33,84,42,44%,20%,36%,.177,20%,2.4,-2.1,
7073,666023,"Fermin, Freddy",29,R,KC,AL,C,20,20,20,20,D+,"1223 ABD",24,380.04,219,499,24,-7,-7,374,354,30,89,14,,7,33,19,76,0,,.253,.289,.359,0.648,5%,0.78,0.25,30%,64,74,74,50%,21%,29%,.233,35%,3.5,-1.3,
7260,665877,"Fermin, Jose",25,R,STL,NL,2B,504,504,4,4,F,"1340 AFF",0,451.45,594,705,,-15,-15,68,60,9,15,3,,1,6,7,7,4,0,.262,.328,.408,0.737,10%,0.87,1.00,27%,61,88,98,44%,20%,36%,.257,65%,4.3,0.7,167
8107,692585,"Fernandez, Yanquiel",22,L,COL,NL,OF,o,o,o,o,F,"1310 AFF",0,461.84,559,750,,-18,-18,68,64,5,14,3,0,1,6,3,14,0,,.223,.254,.335,0.589,4%,0.78,0.21,27%,65,83,83,44%,20%,36%,.225,40%,2.6,-2.8,
7875,666149,"Fitzgerald, Tyler",27,R,SF,NL,2B,6o84,6o,6,6,C+,"3505 AAD",65,239.62,140,363,,11,11,578,539,77,129,27,3,16,62,38,195,24,6,.240,.289,.398,0.687,6%,0.64,0.19,34%,115,117,122,33%,25%,43%,.215,20%,3.8,-1.5,
6463,666150,"Fletcher, Dominic",27,L,CWS,AL,OF,o98,o98,o98,o98,D,"0001 CBB",1,451.90,694,747,68,-17,-17,102,96,9,20,4,0,0,7,5,24,0,0,.217,.247,.294,0.542,4%,0.74,0.21,28%,38,84,28,46%,20%,34%,.201,30%,2.0,-6.1,
4211,527038,"Flores, Wilmer",33,R,SF,NL,1B,30,3,3,3,B,"2033 DAF",24,493.70,430,750,76,-4,-4,340,308,38,76,15,,11,42,31,50,,,.249,.316,.412,0.728,9%,0.84,0.62,26%,90,66,,34%,21%,45%,.256,55%,4.3,-0.6,167
