Pick,Team,Player,Elapsed Time,Total Fpts,Active Fpts
77,Seavy,Matt Olson 1B | ATL  (Keeper),1 sec,555.5,555.5
78,Thommy Boy,Byron Buxton OF | MIN,49 sec,239,239
79,The New Mets,Raisel Iglesias P | ATL  (Keeper),0 sec,454,454
80,Cleveland Rocks!,Brad Hand P | ATL,42 sec,239.3,227
81,Donut King,Kirby Yates P | LAD (Keeper),1 sec,0,0
82,Draft Killers,Craig Kimbrel P | BAL,7 sec,334.3,334.3
83,Maxinators,Taylor Rogers P | CIN,35 sec,134.7,-1
84,Chaos Theory,Nick Castellanos OF | PHI ,23 sec,493.5,493.5
85,Chaos Theory,Will Smith C | LAD ,46 sec,372.5,372.5
86,Maxinators,Max Muncy 3B | LAD ,30 sec,489,489
87,Draft Killers,Justin Turner 1B | CHC,36 sec,451,451
88,Donut King,*Drew Pomeranz P | SEA,1 min 30 sec,57.3,23.3
89,Cleveland Rocks!,J.D. Martinez DH | NYM ,14 sec,451,449
90,The New Mets,Amir Garrett P | TOR,1 min 3 sec,73.3,73.3
91,Thommy Boy,Zack Wheeler P | PHI ,49 sec,534.7,534.7
92,Seavy,"Whit Merrifield 2B,OF | ATL (Keeper)",0 sec,497.5,496.5
93,Preetenders,Joey Gallo 1B | CHW,4 sec,411.5,411.5
94,Ea$y Money,Willson Contreras C | STL,7 sec,291,291
95,Bad News Bears,Rafael Devers 3B | BOS  (Keeper),0 sec,521.5,525.5
96,The Big Loggers,Luis Robert OF | CHW,1 min 20 sec,236.5,63
97,The Big Loggers,"Jeff McNeil 2B,OF | NYM",24 sec,227,216
98,Bad News Bears,Cristian Javier P | HOU ,1 min 25 sec,208.7,117.3
99,Ea$y Money,Ian Anderson P | ATL ,59 sec,235.7,79.7
100,Preetenders,Chris Paddack P | MIN ,3 sec,151.7,12.7
101,Seavy,Yasmani Grandal C | PIT,48 sec,301,178
102,Thommy Boy,Alec Mills RP | ,1 min 16 sec,113,3
103,The New Mets,Gio Urshela 3B | ATH,5 sec,219.5,211
104,Cleveland Rocks!,James Karinchak P | CHW,5 sec,212.7,171.3
105,Donut King,Rhys Hoskins 1B | MIL (Keeper),0 sec,336,336
106,Draft Killers,Archie Bradley RP | ,9 sec,104,-3
107,Maxinators,Mike Yastrzemski OF | SF ,47 sec,367.5,12
108,Chaos Theory,"Cody Bellinger 1B,OF | NYY  (Keeper)",1 sec,166,147
109,Chaos Theory,Ke'Bryan Hayes 3B | PIT ,30 sec,216.5,216.5
110,Maxinators,Teoscar Hernandez OF | LAD,1 min 7 sec,496,484
111,Draft Killers,Max Kepler OF | PHI,37 sec,321,296.5
112,Donut King,*Rafael Montero P | HOU,1 min 33 sec,86.7,52.7
113,Cleveland Rocks!,Javier Baez SS | DET,29 sec,391,380.5
114,The New Mets,Trey Mancini 1B | ARI,46 sec,356.5,356.5
115,Thommy Boy,James McCann C | BAL,14 sec,170.5,26.5
116,Seavy,Corbin Burnes P | ARI ,22 sec,445,438
117,Preetenders,Rougned Odor 2B | SD (Keeper),0 sec,187,62.5
118,Ea$y Money,Nelson Cruz DH | ,1 min 11 sec,415,411
119,Bad News Bears,"Salvador Perez 1B,C | KC ",30 sec,506,506
120,The Big Loggers,Dinelson Lamet P | LAD,35 sec,56,33.7
121,The Big Loggers,Adalberto Mondesi SS | BOS,20 sec,105.5,21
122,Bad News Bears,Gary Sanchez C | BAL ,51 sec,260.5,260.5
123,Ea$y Money,Yoan Moncada 3B | LAA (Keeper),0 sec,362.5,361.5
124,Preetenders,Travis d'Arnaud C | LAA,54 sec,113.5,73.5
125,Seavy,Ian Happ OF | CHC,1 min 26 sec,324,35.5
126,Thommy Boy,Blake Snell P | LAD  (Keeper),1 sec,234.3,76.7
127,The New Mets,Christian Vazquez C | MIN,1 min 19 sec,251,251
128,Cleveland Rocks!,Vladimir Guerrero 1B | TOR  (Keeper),0 sec,629,629
129,Donut King,*Jordan Romano P | PHI,1 min 33 sec,374,230.3
130,Draft Killers,Kyle Lewis DH | ARI,19 sec,78.5,77
131,Maxinators,Mike Moustakas 3B | CHW ,34 sec,102,67
132,Chaos Theory,Walker Buehler P | BOS  (Keeper),0 sec,503.3,503.3
133,Chaos Theory,Joe Musgrove P | SD ,31 sec,452.7,452.7
134,Maxinators,Matt Chapman 3B | SF  (Keeper),0 sec,341,341
135,Draft Killers,Michael Brantley LF | ,56 sec,322.5,317
136,Donut King,*Eloy Jimenez DH | TB,1 min 31 sec,133.5,133.5
137,Cleveland Rocks!,Juan Soto OF | NYM  (Keeper),0 sec,562.5,562.5
138,The New Mets,Jared Walsh 1B | TEX,14 sec,418,418
139,Thommy Boy,Josh Donaldson 3B | ,36 sec,361,338.5
140,Seavy,Wil Myers OF | CIN,33 sec,304.5,295
141,Preetenders,Dallas Keuchel P | MIL,9 sec,114,114
142,Ea$y Money,Jack Flaherty P | DET  (Keeper),0 sec,204.7,203
143,Bad News Bears,Lance McCullers P | HOU ,42 sec,349.7,349.7
144,The Big Loggers,Dansby Swanson SS | CHC,1 min 19 sec,427.5,427
145,The Big Loggers,Sixto Sanchez P | MIA,15 sec,0,0
146,Bad News Bears,"Jake Cronenworth 1B,2B | SD",37 sec,463,454.5
147,Ea$y Money,Anthony Santander OF | TOR ,52 sec,246.5,168
148,Preetenders,Ramon Laureano OF | BAL,7 sec,235,146.5
149,Seavy,Jose Urquidy P | DET ,32 sec,218,213.3
150,Thommy Boy,*Adam Wainwright SP | ,1 min 32 sec,469.7,-5.7
151,The New Mets,Marcus Semien 2B | TEX  (Keeper),0 sec,592,592
152,Cleveland Rocks!,Tommy Edman OF | LAD ,8 sec,442.5,442.5
153,Donut King,Eric Hosmer 1B | ,8 sec,315.5,305.5
154,Draft Killers,Hunter Dozier 3B | LAA,1 min 6 sec,268,268
155,Maxinators,Marco Gonzales P | PIT,21 sec,239.7,-11.3
156,Chaos Theory,Franmil Reyes DH | ,58 sec,324.5,324
157,Chaos Theory,Bo Bichette SS | TOR  (Keeper),0 sec,549.5,549.5
158,Maxinators,Trevor Bauer P | LAD (Keeper),0 sec,275.3,275.3
159,Draft Killers,Joakim Soria RP | ,17 sec,67.7,-0.7
160,Donut King,Brandon Workman RP |  (Keeper),0 sec,7,0
161,Cleveland Rocks!,James Paxton P | BOS,8 sec,2.7,2.7
162,The New Mets,Mitch Garver C | SEA ,26 sec,173.5,85.5
163,Thommy Boy,Alex Dickerson DH | ,18 sec,188,17.5
164,Seavy,Bryan Reynolds OF | PIT (Keeper),0 sec,504.5,483.5
165,Preetenders,Josh Bell 1B | WAS (Keeper),0 sec,402.5,368
166,Ea$y Money,Jameson Taillon P | CHC,1 min 3 sec,229.7,148.7
167,Bad News Bears,Aaron Hicks OF | LAA,37 sec,61,61
168,The Big Loggers,Ketel Marte 2B | ARI  (Keeper),0 sec,290,289
169,The Big Loggers,David Price RP | ,1 min 1 sec,111.3,6
170,Bad News Bears,Didi Gregorius SS |  (Keeper),0 sec,230.5,49
171,Ea$y Money,Sandy Alcantara P | MIA ,43 sec,333.3,191.7
172,Preetenders,Joc Pederson DH | TEX (Keeper),0 sec,277.5,188.5
173,Seavy,Sonny Gray P | STL  (Keeper),0 sec,214.7,199
174,Thommy Boy,Lucas Giolito P | BOS  (Keeper),0 sec,364.3,364.3
175,The New Mets,Jean Segura 3B | CLE,15 sec,374,366.5
176,Cleveland Rocks!,Keston Hiura 1B | COL (Keeper),0 sec,69.5,26
177,Donut King,Jorge Soler OF | LAA  (Keeper),0 sec,357,310.5
178,Draft Killers,Aaron Judge OF | NYY (Keeper),0 sec,488,486
179,Maxinators,Nick Madrigal 3B | NYM ,32 sec,138.5,3.5
