MLBAMID,Name,Team,Rank,Position,Age,Bats,Throws,ETA,Future Role,Grade
696486,James Tibbs III,SF,82,OF,22,L,L,2026,Starting OF,8C
806965,Starlyn Caba,MIA,83,SS,19,B,R,2027,Starting SS,9D
702261,Termarr Johnson,PIT,84,2B/SS,21,L,R,2025,Starting 2B,8C
806071,Jonny Farmelo,SEA,85,OF,20,L,R,2027,Starting OF,8D
686948,Drake Baldwin,ATL,86,C,24,L,R,2025,Starting C,8C
690291,Jace Jung,DET,87,3B/2B,24,L,R,2024,Starting 3B,8D
703197,Michael Arroyo,SEA,88,2B,20,R,R,2026,Starting 2B,8D
677595,Ronny Mauricio,NYM,89,SS/OF/2B,24,B,R,2023,Starting MIF,8D
694197,Angel Genao,CLE,90,2B,21,B,R,2026,Starting 2B,7B
702679,Demetrio Crisantes,ARI,91,2B,20,R,R,2027,Starting 2B,8C
806198,Cooper Pratt,MIL,92,SS,20,R,R,2026,Starting SS,7B
703607,Henry Bolte,ATH,93,OF,21,R,R,2026,Starting OF,8C
699073,Thayron Liranzo,DET,94,C,21,B,R,2026,Starting C,8D
805796,Arjun Nimmala,TOR,95,SS,19,R,R,2028,Starting SS,8D
687515,Colby Thomas,ATH,96,OF,24,R,R,2025,Starting OF,7C
800611,Noble Meyer,MIA,97,SP,20,R,R,2026,#3 starter,8D
702056,Trey Yesavage,TOR,98,SP,21,R,R,2026,#3 starter,8D
694249,Cole Carrigg,COL,99,SS/OF,23,B,R,2026,Starting CF,9D
804541,Gary Gill Hill,TB,100,SP,20,R,R,2027,#3 starter,8C
